#Mass	 #Pos	 #RadialVel	 #TransVel	 #Potential
   0.0010	    0.9315	   -0.1603	   -0.8292	   -0.0123
   0.0010	    0.9320	   -0.1066	   -0.4525	   -0.0098
   0.0010	    0.9355	    0.1102	    0.6136	   -0.0071
   0.0010	    0.9370	   -0.3125	   -0.6050	   -0.0072
   0.0010	    0.9396	   -0.2557	   -0.3750	   -0.0150
   0.0010	    0.9397	   -0.0625	   -0.0996	   -0.0150
   0.0010	    0.9415	   -0.0820	    0.3133	   -0.0073
   0.0010	    0.9443	    0.3545	   -0.2632	   -0.0076
   0.0010	    0.9455	    0.2811	   -0.3383	   -0.0084
   0.0010	    0.9465	    0.4219	   -0.7024	   -0.0091
   0.0010	    0.9474	    0.0333	    0.4528	   -0.0399
   0.0010	    0.9475	   -0.2290	   -0.4372	   -0.0399
   0.0010	    0.9484	    0.5385	    0.6715	   -0.0082
   0.0010	    0.9564	    0.0326	    0.6560	   -0.0217
   0.0010	    0.9565	    0.4750	   -0.4967	   -0.0218
   0.0010	    0.9582	    0.0839	   -0.2217	   -0.0064
   0.0010	    0.9638	    0.2829	    0.4861	   -0.0132
   0.0010	    0.9639	    0.5862	   -0.7141	   -0.0132
   0.0010	    0.9673	   -0.3819	    0.5269	   -0.0080
   0.0010	    0.9678	    0.1609	   -0.2890	   -0.0081
   0.0010	    0.9699	   -0.4383	    0.8559	   -0.0077
   0.0010	    0.9706	    0.4026	   -0.5558	   -0.0075
   0.0010	    0.9739	    0.1227	   -0.4648	   -0.0062
   0.0010	    0.9786	   -0.0890	    0.2831	   -0.0071
   0.0010	    0.9805	   -0.5365	   -0.6020	   -0.0101
   0.0010	    0.9810	   -0.0293	    0.5928	   -0.0123
   0.0010	    0.9813	   -0.1440	   -0.5494	   -0.0118
   0.0010	    0.9828	   -0.0517	    0.2491	   -0.0251
   0.0010	    0.9829	   -0.0235	    0.5568	   -0.0292
   0.0010	    0.9830	    0.1249	    0.4882	   -0.0221
   0.0010	    0.9852	   -0.1663	    0.5823	   -0.0102
   0.0010	    0.9855	    0.4337	   -0.4303	   -0.0100
   0.0010	    0.9909	   -0.1688	   -0.1855	   -0.0057
   0.0010	    0.9981	    0.6823	   -0.4605	   -0.0058
   0.0010	    1.0022	   -0.4195	    0.4646	   -0.0096
   0.0010	    1.0026	    0.4438	    0.4793	   -0.0105
   0.0010	    1.0030	    0.1540	   -0.2488	   -0.0090
   0.0010	    1.0079	   -0.3188	    0.5952	   -0.0102
   0.0010	    1.0082	    0.0758	    0.5614	   -0.0103
   0.0010	    1.0109	    0.8544	   -0.2066	   -0.0377
   0.0010	    1.0109	   -0.7584	    0.4022	   -0.0398
   0.0010	    1.0110	   -0.6331	    0.5461	   -0.0219
   0.0010	    1.0117	   -0.1018	   -0.2832	   -0.0103
   0.0010	    1.0142	    0.0302	    0.9405	   -0.0078
   0.0010	    1.0162	    0.2454	    0.2959	   -0.0093
   0.0010	    1.0168	   -0.1306	   -0.1128	   -0.0094
   0.0010	    1.0184	   -0.1112	   -0.6697	   -0.0084
   0.0010	    1.0200	   -0.1648	   -0.4908	   -0.0119
   0.0010	    1.0202	   -0.3129	    0.1212	   -0.0120
   0.0010	    1.0213	    0.0656	   -0.3468	   -0.0085
   0.0010	    1.0236	   -0.2827	    0.5460	   -0.0075
   0.0010	    1.0266	    0.1563	    0.4407	   -0.0090
   0.0010	    1.0275	    0.0952	   -0.3389	   -0.0174
   0.0010	    1.0277	    0.4232	   -0.6612	   -0.0174
   0.0010	    1.0288	    0.5694	    0.7626	   -0.0097
   0.0010	    1.0297	   -0.2515	   -0.8181	   -0.0098
   0.0010	    1.0305	    0.3984	    0.2323	   -0.0109
   0.0010	    1.0309	    0.0503	    0.8844	   -0.0104
   0.0010	    1.0347	    0.1388	    0.4954	   -0.0072
   0.0010	    1.0358	    0.0872	   -0.1424	   -0.0070
   0.0010	    1.0424	    0.0765	   -0.3102	   -0.0075
   0.0010	    1.0445	   -0.6029	   -0.4261	   -0.0174
   0.0010	    1.0447	   -0.0817	    0.4564	   -0.0264
   0.0010	    1.0448	   -0.0603	    0.5839	   -0.0329
   0.0010	    1.0449	    0.0279	   -0.3098	   -0.0292
